epoch,train_loss,f1_train,f1_dev,f1_test
1,10.507111345891987,0.44218883237052126,0.4811167421842679,0.46187584539820203
2,8.48626048937531,0.6112803727681492,0.6204271835988873,0.6179693451339896
3,7.258289687581115,0.6229935761836466,0.607946592667684,0.5990921587244714
4,6.6152995430360635,0.6750760324701526,0.658999615858241,0.6283639718148678
5,6.166693865525126,0.7096599706956586,0.6598140233335971,0.6428189579158272
6,5.722357735965715,0.73961688076299,0.6535381775552077,0.6368229674574929
