epoch,train_loss,f1_train,f1_dev,f1_test
1,94.55996457007925,0.4691706782741773,0.4769487729493467,0.5030011865545392
2,78.17260098835779,0.6249830478829393,0.6211577524558728,0.5831672210150601
3,67.52131688114487,0.6570824436995419,0.6265377949768917,0.6192706991260197
4,60.406290742503856,0.6767632110388454,0.6365532299555108,0.605996992170028
5,56.77337809505626,0.7225575806594404,0.6526120850276192,0.6274639262092525
6,53.151447248109534,0.7607308266745988,0.6545064633578935,0.636312156766238
7,49.16412786700932,0.7887295821920633,0.6545161259233936,0.6377499107549172
8,46.8850879484335,0.7963111647752136,0.6538045459052709,0.6342492560328986
